Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Watsonia North,4,h,S,Barry,14.5,3087,4,2,2,548,168.4,1998.2,Banyule City Council,-37.69405,145.08755,Northern Metropolitan,1442,Indoor,790000,2018,2
Fitzroy,2,h,S,Nelson,1.6,3065,2,1,0,128,133.4,1978.4,Yarra City Council,-37.7941,144.9802,Northern Metropolitan,5825,Indoor,1000000,2016,3
Balwyn,3,u,S,Jellis,9.7,3103,2.8,1.8,1.6,414,136.8,1985.8,Boroondara City Council,-37.773736,144.918614,Southern Metropolitan,5682,Parkade,905000,2016,6
Yallambie,3,h,PI,Nelson,15,3085,2.8,1,1.8,533.8,117.4,1963.8,Banyule City Council,-37.734932,145.046284,Northern Metropolitan,1369,Carport,710000,2016,10
Kew East,4,h,PI,Marshall,7.3,3102,4,2,3,697,171,1960,Boroondara City Council,-37.79522,145.05749,Southern Metropolitan,2671,Detached Garage,2025000,2018,2
Oakleigh,4,h,PI,Barry,12.3,3166,4,3,2,578,232,1927,Monash City Council,-37.8915,145.0888,Southern Metropolitan,3224,Underground,1160000,2017,11
South Yarra,3,u,S,Williams,3.3,3141,3,1,1,0,118,1970,Melbourne City Council,-37.836,144.9782,Southern Metropolitan,14887,Attached Garage,920000,2017,5
Wollert,4,h,SP,hockingstuart,10.62,3750,4,2,2,388,122.4,1995.2,Whittlesea City Council,-37.60981,145.04135,Northern Metropolitan,2940,Parkade,630000,2018,2
Hawthorn East,3,h,S,Marshall,7.5,3123,3,2,2,224,184.6,1928,Boroondara City Council,-37.8368,145.0508,Southern Metropolitan,6482,Attached Garage,1890000,2017,5
Pascoe Vale,2,t,S,Ray,8.5,3044,2.6,1.6,1.4,426.6,114.8,1988.4,Moreland City Council,-37.820656,144.989928,Northern Metropolitan,7485,Parkade,686000,2017,10
Diamond Creek,2,h,S,Barry,21.8,3089,2,1,1,78.4,105,2003,Nillumbik Shire Council,-37.67621,145.15757,Northern Victoria,4258,Attached Garage,598000,2017,9
Camberwell,4,h,VB,Jellis,7.7,3124,1.8,1,1.2,68.6,82.2,2000,Boroondara City Council,-37.746248,144.96099,Southern Metropolitan,8920,Carport,410000,2017,11
Kensington,1,t,S,Nelson,4.2,3031,2.4,1.6,1.6,177.8,91.8,1997.4,Melbourne City Council,-37.796744,144.9593,Northern Metropolitan,5263,Detached Garage,542000,2016,9
Greensborough,4,h,S,Darren,16.1,3088,4,1,1,485,144.4,1960,Banyule City Council,-37.70106,145.09951,Northern Metropolitan,8524,Detached Garage,920000,2017,9
Coburg North,4,h,S,Raine,6.7,3058,4,2,1,420.6,147.6,1930.4,Darebin City Council,-37.72141,144.96603,Northern Metropolitan,3445,Attached Garage,1330000,2017,9
Reservoir,2,u,S,Ray,11.2,3073,2,1,1,129,65,1995,Darebin City Council,-37.7099,145.0131,Northern Metropolitan,21650,Indoor,357500,2016,7
Doncaster,4,h,S,ASL,13.9,3108,4,1,2,657,136,1957,Manningham City Council,-37.7856,145.1374,Eastern Metropolitan,9028,Carport,1200000,2016,12
Moonee Ponds,2,h,S,Nelson,6.2,3039,2,1,1,450,154.2,1950.8,Moonee Valley City Council,-37.76121,144.92525,Western Metropolitan,6232,Detached Garage,1250000,2017,1
Balwyn,3,t,S,Fletchers,9.7,3103,3.8,1.4,1.8,667.6,127,1964.8,Boroondara City Council,-37.766976,145.031272,Southern Metropolitan,5682,Attached Garage,788000,2016,10
Mount Waverley,3,h,S,Harcourts,14.2,3149,3,1,3,348,148,1970,Monash City Council,-37.89457,145.11979,Eastern Metropolitan,13366,Attached Garage,1190000,2017,10
Doncaster,4,t,PI,Barry,12.4,3108,3.2,1.4,2,371.8,155,1958.6,Manningham City Council,-37.79304,145.1421,Eastern Metropolitan,9028,Indoor,1380000,2017,10
Cheltenham,4,h,SP,Buxton,17.9,3192,3.2,2,1.6,575.8,148.2,1955.2,Bayside City Council,-37.866694,145.08927,Southern Metropolitan,9758,Indoor,1125000,2018,2
Brunswick West,3,h,S,McDonald,5.9,3055,3,1,0,358,103.2,1946.4,Moreland City Council,-37.7642,144.9493,Northern Metropolitan,7082,Detached Garage,942000,2017,4
Port Melbourne,3,h,S,Chisholm,3.8,3207,3,1,1,220,201.4,1944.8,Melbourne City Council,-37.8329,144.942,Southern Metropolitan,8648,Parkade,1655000,2017,2
Richmond,3,h,S,hockingstuart,2.4,3121,3,3,2,285,218,1930,Yarra City Council,-37.81415,145.00381,Northern Metropolitan,14949,Indoor,2210000,2018,3
Croydon,2,u,SP,Philip,23,3136,2.6,1.4,1.6,124.8,113.2,1985.4,Maroondah City Council,-37.728358,144.987362,Eastern Metropolitan,11925,Indoor,590000,2017,11
Hoppers Crossing,3,h,SP,Sweeney,18.4,3029,3,1,2,242,72.8,1994.8,Wyndham City Council,-37.87087,144.68494,Western Metropolitan,13830,Attached Garage,460000,2017,10
Melbourne,1,u,PI,RT,2.8,3000,1,1,1,2,57.6,1977.4,Melbourne City Council,-37.828634,144.992214,Northern Metropolitan,17496,Detached Garage,400000,2016,3
Melton West,3,h,SP,FN,9,3337,3,2,1,879,169,1990,Melton City Council,-37.66952,144.55359,Northern Victoria,6065,Indoor,465000,2018,3
Bentleigh,3,h,S,Jellis,11.4,3204,3,1,2,569,218.8,1940,Glen Eira City Council,-37.91456,145.04109,Southern Metropolitan,6795,Attached Garage,1730000,2017,10
Epping,4,h,PI,Nelson,19.6,3076,4,2,1.8,672,191,1996,Whittlesea City Council,-37.65491,145.02649,Northern Metropolitan,10926,Parking Pad,795000,2018,2
Sunshine West,5,h,SP,Barry,13.5,3020,5,2,2,596,176,1997,Brimbank City Council,-37.7981,144.7936,Western Metropolitan,6763,Attached Garage,621000,2016,10
Mulgrave,3,h,S,Barry,18.8,3170,3,1,2,738,155,1980.6,Monash City Council,-37.9289,145.1701,South-Eastern Metropolitan,7113,Carport,925000,2017,11
Bulleen,4,t,PI,Barry,10.8,3105,3.2,1.6,2,400.6,170.4,1944,Manningham City Council,-37.874194,145.016822,Eastern Metropolitan,4480,Underground,1370000,2017,10
Oakleigh South,3,h,S,Buxton,14.7,3167,3,1,2,646,175.6,1957.2,Kingston City Council,-37.9167,145.0855,South-Eastern Metropolitan,3692,Detached Garage,981000,2016,3
Oakleigh South,3,t,S,Fletchers,14.7,3167,3,2,1,189,123,2000,Kingston City Council,-37.9122,145.0853,South-Eastern Metropolitan,3692,Underground,680000,2016,3
West Footscray,2,u,S,Sweeney,6.4,3012,3.2,1.4,1.2,530.6,125,1986,Maribyrnong City Council,-37.723288,144.702346,Western Metropolitan,5058,Parkade,355000,2017,9
North Melbourne,2,u,S,W.B.,2.3,3051,2,2,1,0,98,1998,Melbourne City Council,-37.8015,144.9526,Northern Metropolitan,6821,Outdoor Stall,720000,2016,10
Doncaster East,4,h,PI,Noel,14.3,3109,4,3,2,284,180,2006,Manningham City Council,-37.79773,145.15141,Eastern Metropolitan,10999,Indoor,1125000,2017,6
Flemington,2,h,SP,Nelson,4.4,3031,2,1,0,165,116.6,1971.8,Melbourne City Council,-37.7847,144.9341,Northern Metropolitan,3593,Carport,957000,2016,5
Brighton East,2,u,S,Hodges,10.3,3187,2,1,2,275,106,1970,Bayside City Council,-37.91106,145.02394,Southern Metropolitan,6938,Detached Garage,890000,2017,12
Sunshine North,3,h,S,Douglas,13.3,3020,3,1,1,251,90,1945,Brimbank City Council,-37.7682,144.8335,Western Metropolitan,4217,Attached Garage,503000,2016,6
Craigieburn,4,h,S,Ray,20.6,3064,4,2,2,584,189,2005,Hume City Council,-37.578,144.93654,Northern Metropolitan,15510,Indoor,613500,2018,10
Richmond,2,h,S,Jellis,2.4,3121,2,1,0,132,68,1890,Yarra City Council,-37.82105,145.0068,Northern Metropolitan,14949,Indoor,1055000,2017,7
West Melbourne,2,u,S,Nardella,3.1,3003,2,1,1,0,127.4,1968,Melbourne City Council,-37.80823,144.95452,Northern Metropolitan,2230,Attached Garage,792000,2017,3
Pascoe Vale,2,t,SP,Eview,9.9,3044,2,1,1,160.6,70.2,2002.8,Moreland City Council,-37.815214,144.940458,Northern Metropolitan,7485,Parkade,455000,2016,3
Cheltenham,4,h,S,HAR,17.9,3192,4,2,1,536,137.2,1953.6,Bayside City Council,-37.96768,145.07966,Southern Metropolitan,9758,Attached Garage,1138000,2017,7
Oak Park,4,h,PI,Brad,11.5,3046,4,2,2,616,146.08,1950,Moreland City Council,-37.7134,144.9096,Northern Metropolitan,2651,Outdoor Stall,830000,2016,7
Reservoir,4,h,S,Stockdale,12,3073,4,3,2,527,240,1980,Darebin City Council,-37.69968,145.03426,Northern Metropolitan,21650,Outdoor Stall,852000,2017,8
Mernda,4,h,S,Barry,11.74,3754,4,2,2,519,238,2014,Whittlesea City Council,-37.59748,145.08202,Northern Metropolitan,5812,Parkade,802000,2017,10
Chadstone,3,h,PI,LITTLE,13.6,3148,4,2,2,515,132.4,1969.2,Monash City Council,-37.8837,145.106,Southern Metropolitan,3582,Indoor,920000,2016,9
Mill Park,4,h,S,Love,17.9,3082,4,2,2,609,231,2003,Whittlesea City Council,-37.65898,145.08245,Northern Metropolitan,10529,Attached Garage,900000,2017,9
Werribee,3,h,S,McNaughton,14.7,3030,3,1,1,614,123,1970,Wyndham City Council,-37.89152,144.68345,Western Metropolitan,16166,Parking Pad,510000,2017,3
Hampton,5,h,S,hockingstuart,13.8,3188,5,3,2,581,217,1953.8,Bayside City Council,-37.9437,145.0141,Southern Metropolitan,5454,Parking Pad,2200000,2017,11
Prahran,2,u,PI,Purplebricks,4.5,3181,2,1,1,356,104.2,2005,Stonnington City Council,-37.8509,144.9954,Southern Metropolitan,7717,Parkade,590000,2016,10
West Melbourne,1,u,SP,Nelson,1.9,3003,1,1,1,0,62,1930,Melbourne City Council,-37.8076,144.9456,Northern Metropolitan,2230,Detached Garage,482000,2016,7
Cheltenham,3,h,SP,Buxton,17.9,3192,3,1,1,366,121,1970,Bayside City Council,-37.96877,145.07484,Southern Metropolitan,9758,Parkade,800000,2017,6
Malvern East,2,u,S,Jellis,8.4,3145,2,1,1,336.2,92,1950,Stonnington City Council,-37.8688,145.05687,Southern Metropolitan,8801,Detached Garage,735000,2017,8
Brighton,4,h,S,Nick,10.5,3186,4,2,2,881,230.6,2015,Bayside City Council,-37.90217,144.99337,Southern Metropolitan,10579,Indoor,2260000,2017,8
Reservoir,3,h,S,Ray,11.2,3073,3,3,2,618,153,1960,Darebin City Council,-37.7154,144.9962,Northern Metropolitan,21650,Indoor,915000,2016,8
Niddrie,3,h,SP,Brad,10.4,3042,3,2,1,548,156.4,1985,Moonee Valley City Council,-37.74291,144.88816,Western Metropolitan,2291,Carport,960000,2017,9
Airport West,3,h,S,Barry,13.5,3042,3,1.6,1.8,272.6,129.6,1978.8,Moonee Valley City Council,-37.745446,144.885462,Western Metropolitan,3464,Parkade,715000,2016,9
Oak Park,3,t,S,Eview,11.5,3046,2.6,1.4,1.4,533,137.4,1963.6,Moreland City Council,-37.758144,144.97997,Northern Metropolitan,2651,Outdoor Stall,765000,2016,11
Bentleigh East,2,u,S,hockingstuart,13.9,3165,2,1,1,145,109,1958.4,Glen Eira City Council,-37.9193,145.0659,Southern Metropolitan,10969,Parkade,570000,2016,4
Heidelberg Heights,2,h,S,Haughton,10.5,3081,2,1,3,428,84.6,1975.4,Banyule City Council,-37.7355,145.0573,Eastern Metropolitan,2947,Attached Garage,570000,2016,11
Brighton,3,t,PI,Nick,11.2,3186,2.4,1.8,1.8,275.2,155.6,1944,Bayside City Council,-37.884354,145.034334,Southern Metropolitan,10579,Detached Garage,1300000,2016,3
Rosanna,3,h,S,Nelson,8.9,3084,3,1,2,609,124,1960,Banyule City Council,-37.74351,145.07965,Eastern Metropolitan,3540,Attached Garage,1224000,2017,8
Carnegie,1,u,S,Obrien,10.1,3163,1,1,1,80,64.8,1990.8,Glen Eira City Council,-37.89023,145.0581,Southern Metropolitan,7822,Detached Garage,392500,2017,9
Templestowe Lower,5,h,S,McGrath,12.4,3107,5,3,3,669,225,1980,Manningham City Council,-37.7691,145.1202,Eastern Metropolitan,5420,Attached Garage,1506000,2017,11
Sunshine West,3,h,VB,Barry,13.5,3020,1.8,1.2,1,14.6,77.4,1974.6,Brimbank City Council,-37.787712,144.984484,Western Metropolitan,6763,Carport,400000,2016,6
Brunswick,2,h,VB,Nelson,5.2,3056,3.2,1.2,1.2,693,130.6,1951.8,Moreland City Council,-37.777206,145.111252,Northern Metropolitan,11918,Attached Garage,1000000,2018,2
Mont Albert,4,h,S,Fletchers,11.8,3127,4,2,2,609,216.4,1962,Boroondara City Council,-37.8149,145.11,Eastern Metropolitan,2079,Indoor,1865000,2017,6
Essendon,4,h,PI,Nelson,7.5,3040,4,1,1,402.4,167,1970,Moonee Valley City Council,-37.74422,144.92408,Western Metropolitan,9264,Indoor,1620000,2017,3
Malvern East,3,h,S,hockingstuart,8.4,3145,3,1,2,310.6,117,2002,Stonnington City Council,-37.87679,145.05903,Southern Metropolitan,8801,Underground,1015000,2017,9
Brunswick East,2,u,SP,Ray,4.5,3057,2.6,1.2,1.8,275.4,95.8,1976.6,Moreland City Council,-37.703846,144.931126,Northern Metropolitan,5533,Parking Pad,430000,2017,3
Heidelberg,3,h,VB,Ray,10.6,3084,3,1,2,0,125,1950,Banyule City Council,-37.7502,145.0718,Eastern Metropolitan,2890,Carport,1125000,2016,7
Doncaster,3,h,SP,Jellis,12.4,3108,3,1,2,730,125,1965,Manningham City Council,-37.79365,145.13721,Eastern Metropolitan,9028,Carport,1350000,2018,2
Carnegie,3,u,S,Woodards,10.1,3163,3,2,2,602,191.8,1972.8,Glen Eira City Council,-37.89344,145.06265,Southern Metropolitan,7822,Attached Garage,1077000,2017,8
Kensington,2,h,VB,Nelson,3.4,3031,2,1,0,133,116.2,1962.6,Melbourne City Council,-37.78906,144.93173,Northern Metropolitan,5263,Attached Garage,850000,2017,1
Strathmore,5,h,VB,Nelson,9.7,3041,5,3,2,387,144.8,1993.6,Moonee Valley City Council,-37.7225,144.9055,Western Metropolitan,3284,Indoor,960000,2016,6
Sunshine North,3,h,SA,GL,10.5,3020,3,1,0,557,121.6,1981.4,Brimbank City Council,-37.76812,144.82528,Western Metropolitan,4217,Carport,595000,2017,7
Bulleen,4,h,S,Jellis,10.8,3105,4,2,2,578,169.4,1966.2,Manningham City Council,-37.77163,145.09695,Eastern Metropolitan,4480,Carport,1427000,2017,10
Frankston,4,h,VB,hockingstuart,8.8,3199,4,2,3,767,210,1980,Frankston City Council,-38.16147,145.14285,South-Eastern Metropolitan,17055,Carport,680000,2017,7
Broadmeadows,3,h,S,hockingstuart,14,3047,3,1,1,341,71,1965,Hume City Council,-37.6886,144.92281,Northern Metropolitan,4294,Parkade,386000,2017,8
Kingsbury,3,h,S,Ray,12.1,3083,3,1.6,2,404.2,168.2,1964,Darebin City Council,-37.7138,145.0416,Northern Metropolitan,1414,Attached Garage,809000,2017,11
Templestowe,4,h,S,Barry,15.5,3106,4,2,2,457,198.2,1916,Manningham City Council,-37.76951,145.16182,Eastern Metropolitan,6202,Detached Garage,2000000,2017,6
Braybrook,2,h,S,Barry,10.8,3019,2,1,1,599,135.8,1960,Maribyrnong City Council,-37.7908,144.8522,Western Metropolitan,3589,Indoor,660000,2016,11
Dandenong North,4,h,SP,C21,24.7,3175,4,2,1,555.4,148.8,1985.8,Greater Dandenong City Council,-37.94458,145.21472,South-Eastern Metropolitan,8322,Attached Garage,750000,2017,3
Doncaster,5,h,S,Barry,12.4,3108,3.8,1.4,1.8,485.2,192.4,1967.6,Manningham City Council,-37.839782,144.996452,Eastern Metropolitan,9028,Outdoor Stall,1525000,2017,5
Viewbank,3,u,SP,Barry,13.8,3084,3,1,1,416,110.6,1967.8,Banyule City Council,-37.7321,145.0828,Eastern Metropolitan,2698,Parkade,440000,2016,7
Maribyrnong,3,h,S,Raine,8.7,3032,3,1,2,678,124,1950,Maribyrnong City Council,-37.769,144.8935,Western Metropolitan,4918,Outdoor Stall,907000,2016,11
Mernda,4,h,S,RW,14.1,3754,4,2,2,420,153,1999,Whittlesea City Council,-37.58702,145.08363,Northern Metropolitan,5812,Detached Garage,610000,2017,9
St Kilda,2,u,PI,hockingstuart,6.1,3182,2.4,1.2,0.6,312.8,106.4,1971.6,Port Phillip City Council,-37.767212,144.999056,Southern Metropolitan,13240,Underground,770000,2016,3
Essendon,2,u,S,Nelson,7.5,3040,2.2,1.2,1.4,261.6,100.6,1979.2,Moonee Valley City Council,-37.779818,144.976964,Western Metropolitan,9264,Underground,475000,2017,11
Heathmont,4,h,S,Noel,21.3,3135,4,2,3,905,157.4,1960,Maroondah City Council,-37.8312,145.2445,Eastern Metropolitan,3794,Attached Garage,1126000,2017,11
Prahran,2,h,S,Jellis,4.6,3181,2,1,2,589.6,154,2002,Stonnington City Council,-37.84691,144.98828,Southern Metropolitan,7717,Attached Garage,1395000,2017,10
Croydon South,3,h,S,Ray,23,3136,3,1,2,897,114.4,1973.2,Maroondah City Council,-37.81695,145.28343,Eastern Metropolitan,1863,Carport,800000,2017,10
Brunswick East,4,h,S,Nelson,4.5,3057,3.8,2,1.8,603.8,236.8,1957.6,Moreland City Council,-37.853168,145.034616,Northern Metropolitan,5533,Carport,1900000,2017,3
Pascoe Vale,3,h,S,YPA,9.9,3044,3,1,1,0,129,2000,Moreland City Council,-37.7243,144.9473,Northern Metropolitan,7485,Indoor,585000,2017,5
Reservoir,3,h,S,hockingstuart,11.2,3073,3,1,2,468,92,1960,Darebin City Council,-37.7184,144.9962,Northern Metropolitan,21650,Attached Garage,650000,2016,4
Collingwood,2,t,S,Jellis,1.6,3066,2,1,1,566.2,98,1880,Yarra City Council,-37.8035,144.985,Northern Metropolitan,4553,Underground,945000,2017,8
MacLeod,3,h,S,Flannagan,12.7,3085,2.4,1.2,1.6,525.2,129.4,1961,Banyule City Council,-37.766504,144.928456,Northern Metropolitan,4168,Indoor,770000,2017,7
Wheelers Hill,4,h,PI,Rounds,16.7,3150,4,3,3,858,215.4,1959.6,Monash City Council,-37.91874,145.19157,South-Eastern Metropolitan,7392,Underground,1200000,2017,5
Avondale Heights,3,h,SP,Moonee,10.5,3034,3,2,1.8,585,161.4,1985.4,Moonee Valley City Council,-37.751,144.8571,Western Metropolitan,4502,Attached Garage,850000,2017,2
Caulfield South,4,h,VB,Gary,8.7,3162,3.4,2,1.6,567.2,170.8,1933,Glen Eira City Council,-37.899272,145.016704,Southern Metropolitan,5051,Carport,1800000,2017,1
Abbotsford,2,h,S,Biggin,3,3067,2,2,1,147,175,2000,Yarra City Council,-37.80269,145.0001,Northern Metropolitan,4019,Parkade,1190000,2017,7
Flemington,3,h,S,Nelson,4.4,3031,3.2,1.4,2,362.6,133.8,1943.6,Melbourne City Council,-37.81298,144.99475,Northern Metropolitan,3593,Parkade,815000,2016,4
Ascot Vale,4,h,PI,Nelson,5.9,3032,4,2,1,298,147,1920,Moonee Valley City Council,-37.7778,144.9131,Western Metropolitan,6567,Attached Garage,950000,2016,9
Newport,5,h,SP,Sweeney,8.4,3015,5,2,2.2,760,229,1935,Hobsons Bay City Council,-37.8437,144.865,Western Metropolitan,5498,Parkade,1820000,2017,5
Craigieburn,4,h,S,Raine,20.6,3064,4,2,2,764,237,2010,Hume City Council,-37.60438,144.92017,Northern Metropolitan,15510,Attached Garage,715000,2017,7
Taylors Hill,5,h,S,Prof.,18,3037,2.8,1.4,1.4,286.4,139,1966.6,Melton City Council,-37.811532,145.059682,Western Metropolitan,4242,Indoor,1016000,2018,2
Braybrook,3,h,S,Barry,10.8,3019,3,1,1,565,132.4,1989.8,Maribyrnong City Council,-37.7885,144.859,Western Metropolitan,3589,Indoor,680000,2016,11
Aberfeldie,4,h,VB,Nelson,7.5,3040,4,2,2,766,140.2,1930,Moonee Valley City Council,-37.75595,144.90551,Western Metropolitan,1543,Outdoor Stall,1380000,2017,12
Camberwell,3,u,S,Marshall,7.8,3124,3,1,1,112,85,1960,Boroondara City Council,-37.8378,145.0949,Southern Metropolitan,8920,Attached Garage,835000,2017,4
Frankston South,3,h,S,Purplebricks,14.24,3199,3,1,3,701,114,1960,Frankston City Council,-38.15929,145.11266,South-Eastern Metropolitan,7566,Attached Garage,730000,2018,2
Murrumbeena,3,h,S,Jellis,10.1,3163,3,1,1,840,181,1950,Glen Eira City Council,-37.89074,145.07638,Southern Metropolitan,4442,Attached Garage,1590000,2018,6
Coburg,3,h,SA,Peter,7.8,3058,3,1,2,385,115.44,1967.4,Darebin City Council,-37.7376,144.9638,Northern Metropolitan,11204,Detached Garage,835000,2017,2
Brighton East,2,t,SP,Hodges,10.3,3187,3.6,1.8,2.2,536.6,195.8,1981,Bayside City Council,-37.856716,145.024808,Southern Metropolitan,6938,Detached Garage,1155000,2017,10
Glenroy,3,t,S,Eview,11.2,3046,2.4,1,1.4,396.4,117.4,1979.4,Moreland City Council,-37.784422,145.074164,Northern Metropolitan,8870,Carport,620000,2017,9
Ivanhoe,4,h,S,Miles,7.9,3079,4,1,2,605,181,1940,Banyule City Council,-37.7707,145.0467,Eastern Metropolitan,5549,Underground,1460000,2016,9
South Yarra,3,t,VB,Kay,3.3,3141,3,2,1,163,207,2016,Melbourne City Council,-37.8425,144.9877,Southern Metropolitan,14887,Detached Garage,2010000,2016,5
Richmond,2,h,S,Jellis,2.6,3121,2,1,0,178,105,1938,Yarra City Council,-37.8226,145.0064,Northern Metropolitan,14949,Parkade,1210000,2017,4
Toorak,3,u,S,Marshall,4.1,3142,3.2,1.6,1.4,476.4,117.4,1954.8,Stonnington City Council,-37.924004,145.112918,Southern Metropolitan,7217,Attached Garage,902000,2017,10
Fitzroy North,2,h,S,Harrington,3.5,3068,2,1,0,122,133.04,1957.2,Moreland City Council,-37.7818,144.9863,Northern Metropolitan,6244,Carport,1055000,2016,10
Kensington,2,h,SP,Edward,4.2,3031,2,1,1,197,101,1890,Melbourne City Council,-37.7918,144.9264,Northern Metropolitan,5263,Underground,1155000,2016,11
Port Melbourne,2,u,S,Hodges,3.5,3207,2.6,1,1.2,468,170.4,1983.8,Melbourne City Council,-37.80175,145.002974,Southern Metropolitan,8648,Indoor,852000,2018,2
Reservoir,3,h,S,Nelson,12,3073,3,1,2,515,113.4,1943.4,Darebin City Council,-37.71932,145.00038,Northern Metropolitan,21650,Detached Garage,947500,2018,3
Newport,3,h,PI,Raine,6.2,3015,3,1,2,282,118,1900,Hobsons Bay City Council,-37.84549,144.89199,Western Metropolitan,5498,Underground,960000,2017,10
Glen Iris,4,h,VB,Marshall,9.2,3146,4,2,2,868,217,1930,Boroondara City Council,-37.8522,145.0893,Southern Metropolitan,10412,Detached Garage,1800000,2016,3
Donvale,5,h,S,Ray,16.1,3111,5,3,3,493.8,290,1980,Manningham City Council,-37.77848,145.17597,Eastern Metropolitan,4790,Attached Garage,1898000,2018,2
Sydenham,3,h,SP,YPA,18,3037,3,2,2,646,133,1974,Brimbank City Council,-37.70063,144.76042,Western Metropolitan,3640,Detached Garage,645000,2018,10
St Kilda,2,u,S,Greg,6.1,3182,2.4,1.4,1.4,611.2,132,1980,Port Phillip City Council,-37.870282,144.923788,Southern Metropolitan,13240,Indoor,610000,2017,3
Donvale,4,h,S,Fletchers,16.1,3111,4.2,2.4,2,577.4,239.8,1991.2,Manningham City Council,-37.963016,145.027368,Eastern Metropolitan,4790,Detached Garage,1660000,2018,3
Brunswick West,2,t,S,Considine,5.2,3055,3.6,1.4,1.6,655.8,129.6,1966,Moreland City Council,-37.821408,145.106252,Northern Metropolitan,7082,Attached Garage,728000,2018,3
Southbank,2,u,S,Greg,0.7,3006,2.8,1.2,1.6,417.6,126.2,1966,Melbourne City Council,-37.82953,145.089714,Southern Metropolitan,8400,Underground,560000,2018,3
Hawthorn East,3,h,S,Noel,7.5,3123,3,2,1,271,126,1962.4,Boroondara City Council,-37.8256,145.0486,Southern Metropolitan,6482,Outdoor Stall,2102000,2017,5
Balwyn,5,h,S,Marshall,9.7,3103,5,2,2,611,174.6,1973.2,Boroondara City Council,-37.8116,145.0789,Southern Metropolitan,5682,Detached Garage,2020000,2016,4
Epping,3,h,S,HAR,19.6,3076,2.6,1.4,1.4,197.6,97.2,1988.6,Whittlesea City Council,-37.749762,145.027084,Northern Metropolitan,10926,Attached Garage,629250,2018,3
Bentleigh,2,u,S,Hodges,13,3204,2.4,1.4,1.6,429.4,105.6,1982.4,Glen Eira City Council,-37.812276,144.911192,Southern Metropolitan,6795,Attached Garage,615000,2016,12
